name,price,3dmark,value,2dmark,tdp,powerperf,test,category
FirePro M6000 Mobility Pro,NA,1727,NA,639,NA,NA,Mar 2013,Unknown
FirePro M6100,NA,2976,NA,696,NA,NA,Sep 2013,Workstation
FirePro M7740,NA,661,NA,415,NA,NA,Dec 2009,Workstation
FirePro S7000,NA,4166,NA,614,150,27,Feb 2014,Workstation
FirePro S9000,NA,5022,NA,575,NA,NA,May 2015,Unknown
FirePro V3900,$129.99*,871,6.70,666,50,17,Mar 2012,Workstation
FirePro V4800,NA,1204,NA,456,NA,NA,May 2016,Unknown
FirePro V4900,$144.99*,1303,8.99,699,75,17,May 2012,Workstation
FirePro V5700,NA,464,NA,469,NA,NA,Jan 2015,Unknown
FirePro V5900,$319.99*,1526,4.77,632,75,20,Jul 2011,Workstation
FirePro V7000 Adapter,NA,3161,NA,667,NA,NA,Oct 2013,Unknown
FirePro V7900,$119.99*,2717,22.65,652,150,18,Sep 2011,Workstation
FirePro V9800 Adapter,NA,2741,NA,673,NA,NA,Jan 2016,Unknown
FirePro W2100,$113.99*,900,7.90,711,26,34,Sep 2014,Workstation
FirePro W4100,$159.99*,1590,9.94,764,50,31,Nov 2014,Workstation
FirePro W4100 Adapter,NA,1698,NA,717,NA,NA,Jan 2015,Unknown
FirePro W4170M,NA,1371,NA,692,NA,NA,Apr 2015,Unknown
Firepro W4190M,NA,1280,NA,617,NA,NA,Apr 2016,Unknown
FirePro W4300,$239.99*,2894,12.06,804,50,57,Feb 2016,Workstation
FirePro W5000,$434.00*,3080,7.10,732,75,41,Oct 2012,Workstation
FirePro W5100,$279.13*,3007,10.77,733,75,40,Nov 2014,Workstation
FirePro W5130M,NA,1628,NA,646,NA,NA,Mar 2016,Unknown
Firepro W5170M,NA,2211,NA,697,NA,NA,Dec 2015,"Mobile, Workstation"
FirePro W600,$319.99*,1734,5.42,708,75,23,Jan 2013,Workstation
FirePro W7000,$569.99*,4309,7.56,701,150,28,Oct 2012,Workstation
FirePro W7000 Adapter,NA,4084,NA,596,NA,NA,Sep 2013,Unknown
FirePro W7100,$289.99,5396,18.61,724,150,35,Feb 2015,Workstation
FirePro W7100 Adapter,NA,5661,NA,691,NA,NA,Feb 2017,Unknown
FirePro W7170M,NA,4643,NA,762,NA,NA,Feb 2016,Unknown
FirePro W8000,"$1,048.99*",4522,4.31,709,189,23,Feb 2013,Workstation
FirePro W8000 Adapter,NA,4751,NA,488,NA,NA,Jan 2016,Unknown
FirePro W8100,"$1,049.00",6066,5.78,750,220,27,Aug 2014,Workstation
FirePro W9000,"$3,443.99*",5403,1.57,714,274,19,Nov 2012,Workstation
FirePro W9100,"$2,749.99*",7189,2.61,738,275,26,Nov 2014,Workstation
FireStream 9250,NA,1164,NA,465,150,7,Sep 2013,Workstation
FireStream 9270,NA,1341,NA,473,160,8,Sep 2014,Workstation
GeForce 205,NA,126,NA,308,30.5,4,Nov 2010,Desktop
GeForce 210,$34.99,172,4.92,424,30.5,5,Oct 2009,Desktop
GeForce 240M GT,NA,319,NA,434,NA,NA,Jan 2019,Unknown
GeForce 256,$42.04*,5,0.12,200,NA,NA,Apr 2009,Unknown
GeForce 305M,NA,190,NA,287,14,13,Mar 2012,Mobile
GeForce 310,$108.35*,203,1.87,473,30.5,6,Jan 2010,Desktop
GeForce 310M,NA,210,NA,364,14,15,Aug 2012,Mobile
GeForce 315,$32.99*,249,7.57,439,33,7,Feb 2010,Desktop
GeForce 315M,NA,208,NA,402,14,14,Jun 2011,Mobile
GeForce 320M,NA,272,NA,321,20,13,Nov 2011,Mobile
GeForce 405,$24.64*,212,8.61,473,NA,NA,Mar 2011,Unknown
GeForce 410M,NA,350,NA,442,12,29,Jul 2011,Mobile
GeForce 505,NA,191,NA,588,NA,NA,Aug 2013,Unknown
GeForce 510,$69.99*,310,4.44,568,25,12,Dec 2011,Desktop
GeForce 605,$97.99*,320,3.27,533,NA,NA,Jun 2012,Unknown
GeForce 6100,NA,21,NA,209,NA,NA,Apr 2009,Unknown
GeForce 6100 nForce 400,NA,25,NA,241,NA,NA,Jun 2009,Unknown
GeForce 6100 nForce 405,NA,22,NA,211,NA,NA,Apr 2009,Unknown
GeForce 6100 nForce 420,NA,25,NA,234,NA,NA,Jul 2009,Unknown
GeForce 6100 nForce 430,NA,23,NA,249,NA,NA,Apr 2009,Unknown
GeForce 610M,NA,404,NA,483,NA,NA,Oct 2012,Unknown
GeForce 615,NA,549,NA,582,NA,NA,Jan 2013,Unknown
GeForce 6150,$149.99,21,0.15,250,NA,NA,Jan 2012,Unknown
GeForce 6150 LE,NA,21,NA,221,NA,NA,May 2012,Unknown
GeForce 6150SE,NA,24,NA,265,NA,NA,Apr 2009,Unknown
GeForce 6150SE nForce 430,NA,22,NA,269,NA,NA,Aug 2012,Unknown
GeForce 6200,$39.99*,44,1.11,162,NA,NA,Apr 2009,Desktop
GeForce 6200 A-LE,NA,32,NA,192,NA,NA,Apr 2009,Desktop
GeForce 6200 LE,$41.24*,26,0.65,285,NA,NA,Aug 2012,Desktop
GeForce 6200 TurboCache,NA,39,NA,275,NA,NA,Apr 2009,Unknown
GeForce 6200SE TurboCache,NA,29,NA,266,NA,NA,Apr 2009,Unknown
GeForce 6500,NA,37,NA,307,NA,NA,Apr 2009,Desktop
GeForce 6600,NA,62,NA,276,NA,NA,Apr 2009,Desktop
GeForce 6600 GT,$64.95*,102,1.57,276,NA,NA,Jul 2010,Desktop
GeForce 6600 LE,NA,51,NA,232,NA,NA,Apr 2009,Desktop
GeForce 6610 XL,NA,88,NA,287,NA,NA,May 2009,Unknown
GeForce 6700 XL,NA,98,NA,236,NA,NA,Apr 2009,Unknown
GeForce 6800,$39.99*,112,2.82,258,NA,NA,Apr 2009,Desktop
GeForce 6800 GS,NA,136,NA,333,NA,NA,Apr 2009,Desktop
GeForce 6800 GS/XT,NA,102,NA,195,NA,NA,Apr 2009,Desktop
GeForce 6800 GT,NA,142,NA,212,NA,NA,Apr 2009,Desktop
GeForce 6800 LE,NA,109,NA,166,NA,NA,Apr 2009,Desktop
GeForce 6800 Ultra,NA,138,NA,153,NA,NA,Apr 2009,Desktop
GeForce 6800 XT,NA,101,NA,381,NA,NA,Apr 2009,Desktop
GeForce 7000M,NA,13,NA,238,NA,NA,Feb 2010,Mobile
GeForce 7000M / nForce 610M,NA,12,NA,187,NA,NA,Apr 2009,Unknown
GeForce 7025 / nForce 630a,NA,25,NA,332,NA,NA,Mar 2012,Unknown
GeForce 7050 / nForce 610i,NA,27,NA,287,NA,NA,May 2009,Unknown
GeForce 7050 / nForce 620i,NA,31,NA,250,NA,NA,Jun 2009,Unknown
GeForce 7050 / nForce 630i,NA,27,NA,281,NA,NA,Feb 2010,Unknown
GeForce 7050 PV / nForce 630a,NA,22,NA,264,NA,NA,Jun 2009,Unknown
GeForce 705M,NA,454,NA,455,NA,NA,Jan 2014,Unknown
GeForce 7100 / nForce 630i,NA,31,NA,301,NA,NA,Jun 2009,Desktop
GeForce 7100 GS,NA,43,NA,284,NA,NA,Apr 2009,Desktop
GeForce 710A,NA,517,NA,595,33,15,Jan 2014,Desktop
GeForce 710M,NA,568,NA,469,12,47,Feb 2013,Mobile
GeForce 7150 / nForce 630i,NA,33,NA,254,NA,NA,Mar 2012,Unknown
GeForce 7150M / nForce 630M,NA,18,NA,193,NA,NA,Apr 2009,Unknown
GeForce 7300 GS,NA,66,NA,298,NA,NA,Apr 2009,Desktop
GeForce 7300 GT,$149.99*,108,0.72,325,NA,NA,Apr 2009,Desktop
GeForce 7300 LE,$32.00*,55,1.72,283,NA,NA,May 2012,Desktop
GeForce 7300 SE,NA,39,NA,250,NA,NA,Apr 2009,Desktop
GeForce 7300 SE/7200 GS,NA,41,NA,304,NA,NA,Oct 2009,Workstation
GeForce 730A,NA,795,NA,675,NA,NA,Sep 2015,Unknown
GeForce 7350 LE,NA,74,NA,281,NA,NA,Jun 2009,Unknown
GeForce 7500 LE,NA,69,NA,258,NA,NA,Aug 2012,Desktop
GeForce 7600 GS,$84.99*,134,1.58,272,NA,NA,Aug 2012,Desktop
GeForce 7600 GT,$84.95*,182,2.15,322,NA,NA,Oct 2009,Desktop
GeForce 7650 GS,NA,134,NA,334,NA,NA,Apr 2009,Unknown
GeForce 7800 GS,NA,177,NA,201,NA,NA,Apr 2009,Desktop
GeForce 7800 GT,$80.00*,195,2.44,371,NA,NA,Apr 2009,Desktop
GeForce 7800 GTX,NA,223,NA,354,86,2,Apr 2009,Desktop
GeForce 7900 GS,NA,218,NA,353,NA,NA,Apr 2009,Desktop
GeForce 7900 GT,NA,258,NA,160,NA,NA,Apr 2009,Desktop
GeForce 7900 GT/GTO,NA,246,NA,464,NA,NA,Apr 2009,Desktop
GeForce 7900 GTX,NA,305,NA,404,NA,NA,Apr 2009,Desktop
GeForce 7950 GT,$114.95*,264,2.30,377,NA,NA,Oct 2011,Desktop
GeForce 7950 GX2,$54.99*,192,3.50,398,NA,NA,Apr 2009,Desktop
GeForce 800A,NA,440,NA,234,NA,NA,Nov 2015,Unknown
GeForce 800M,NA,559,NA,610,NA,NA,Oct 2014,Unknown
GeForce 8100 / nForce 720a,NA,82,NA,309,NA,NA,Apr 2009,Unknown
GeForce 810A,NA,638,NA,686,NA,NA,Dec 2014,Unknown
GeForce 810M,NA,483,NA,210,NA,NA,Oct 2014,Unknown
GeForce 8200,NA,79,NA,313,NA,NA,Apr 2009,Unknown
GeForce 8200M G,NA,56,NA,201,19.2,2,Apr 2009,Mobile
GeForce 820A,NA,691,NA,520,NA,NA,May 2015,Unknown
GeForce 820M,NA,617,NA,471,15,41,Jul 2014,Mobile
GeForce 825M,NA,759,NA,563,33,23,Oct 2014,Mobile
GeForce 8300,$22.68*,92,4.06,328,NA,NA,Apr 2009,Unknown
GeForce 8300 GS,NA,66,NA,313,40,1,Apr 2009,Desktop
GeForce 830A,NA,990,NA,735,NA,NA,Dec 2014,Unknown
GeForce 830M,NA,889,NA,484,25,35,Oct 2014,Mobile
GeForce 8400,$69.78*,100,1.45,306,NA,NA,Apr 2009,Unknown
GeForce 8400 GS,$34.99,113,3.23,371,40,2,Aug 2012,Desktop
GeForce 8400 SE,NA,68,NA,290,NA,NA,May 2009,Unknown
GeForce 8400M G,NA,58,NA,241,10,5,Apr 2009,Mobile
GeForce 8400M GS,$14.99*,82,5.48,248,11,7,Apr 2009,Mobile
GeForce 8400M GT,NA,98,NA,254,14,7,Apr 2009,Mobile
GeForce 840A,NA,869,NA,631,NA,NA,Nov 2014,Unknown
GeForce 840M,NA,913,NA,559,30,30,May 2014,Mobile
GeForce 845M,NA,1121,NA,586,NA,NA,Feb 2015,Mobile
GeForce 8500 GT,NA,136,NA,356,45,3,Apr 2009,Desktop
GeForce 8600 GS,NA,141,NA,374,47,3,Apr 2009,Desktop
GeForce 8600 GT,NA,241,NA,390,47,5,Aug 2012,Desktop
GeForce 8600 GTS,NA,285,NA,409,75,3,Aug 2012,Desktop
GeForce 8600M GS,NA,123,NA,266,20,6,Apr 2009,Mobile
GeForce 8600M GT,NA,168,NA,282,20,8,Apr 2011,Mobile
GeForce 8700M GT,NA,208,NA,291,29,7,Apr 2009,Mobile
GeForce 8800 GS,NA,545,NA,435,105,5,Aug 2009,Desktop
GeForce 8800 GT,NA,748,NA,461,125,5,Apr 2009,Desktop
GeForce 8800 GTS,NA,605,NA,447,146,4,Aug 2012,Desktop
GeForce 8800 GTS 512,NA,833,NA,494,135,6,Aug 2012,Desktop
GeForce 8800 GTX,NA,763,NA,475,155,4,Aug 2012,Desktop
GeForce 8800 Ultra,NA,769,NA,475,171,4,Apr 2009,Desktop
GeForce 8800M GTS,NA,474,NA,310,50,9,Aug 2012,Mobile
GeForce 8800M GTX,NA,542,NA,343,65,8,Apr 2009,Mobile
GeForce 9100,NA,82,NA,345,NA,NA,Apr 2009,Unknown
GeForce 9100M G,NA,75,NA,220,NA,NA,Apr 2009,Unknown
GeForce 910M,NA,475,NA,223,NA,NA,Aug 2015,Unknown
GeForce 9200,NA,80,NA,308,NA,NA,May 2009,Unknown
GeForce 9200M GE,NA,81,NA,227,NA,NA,Apr 2009,Unknown
GeForce 9200M GS,NA,84,NA,255,13,6,Apr 2009,Mobile
GeForce 920A,NA,919,NA,527,NA,NA,Aug 2016,Unknown
GeForce 920M,NA,732,NA,473,NA,NA,Apr 2015,Unknown
GeForce 920MX,NA,1067,NA,515,NA,NA,Jun 2016,Unknown
GeForce 9300,NA,126,NA,384,NA,NA,Apr 2009,Unknown
GeForce 9300 / nForce 730i,NA,130,NA,368,NA,NA,Apr 2009,Unknown
GeForce 9300 GE,$22.99*,101,4.41,369,NA,NA,Apr 2009,Desktop
GeForce 9300 GS,$59.95*,91,1.53,326,NA,NA,May 2009,Desktop
GeForce 9300GE,NA,97,NA,366,NA,NA,Apr 2009,Unknown
GeForce 9300M G,NA,84,NA,240,13,6,May 2009,Mobile
GeForce 9300M GS,NA,94,NA,270,13,7,Apr 2009,Mobile
GeForce 930A,NA,1208,NA,628,NA,NA,Jan 2016,Unknown
GeForce 930M,NA,942,NA,525,NA,NA,Jul 2015,Unknown
GeForce 930MX,NA,1204,NA,606,17,70,Jul 2016,Mobile
GeForce 9400,NA,140,NA,363,NA,NA,Apr 2009,Unknown
GeForce 9400 GT,$79.99*,187,2.34,365,50,3,Nov 2010,Desktop
GeForce 9400M,NA,119,NA,293,NA,NA,Apr 2009,Unknown
GeForce 9400M G,NA,124,NA,301,12,10,Jul 2009,Mobile
GeForce 940A,NA,1031,NA,537,NA,NA,Dec 2015,Unknown
GeForce 940M,NA,987,NA,524,33,29,Mar 2015,Mobile
GeForce 940MX,NA,1342,NA,565,NA,NA,Mar 2016,Unknown
GeForce 945M,NA,1434,NA,556,NA,NA,Dec 2015,Unknown
GeForce 9500 GS,NA,277,NA,374,NA,NA,Aug 2012,Unknown
GeForce 9500 GT,$85.99*,273,3.18,404,50,5,Apr 2009,Desktop
GeForce 9500M,NA,103,NA,319,NA,NA,Apr 2009,Unknown
GeForce 9500M G,NA,166,NA,337,20,8,Jul 2009,Mobile
GeForce 9500M GS,NA,180,NA,280,20,9,Apr 2009,Mobile
GeForce 9600 GS,NA,445,NA,402,NA,NA,Jan 2010,Desktop
GeForce 9600 GSO,$49.99*,517,10.35,453,84,6,Apr 2009,Desktop
GeForce 9600 GSO 512,NA,503,NA,401,90,5,Apr 2009,Desktop
GeForce 9600 GT,$39.99*,730,18.26,448,95,7,Feb 2011,Desktop
GeForce 9600M GS,NA,231,NA,287,20,11,Apr 2009,Mobile
GeForce 9600M GT,NA,260,NA,310,23,11,Apr 2009,Mobile
GeForce 9600M GT / GeForce GT 220M,NA,293,NA,290,NA,NA,May 2010,Unknown
GeForce 9650M GS,NA,270,NA,328,29,9,Apr 2009,Mobile
GeForce 9650M GT,NA,253,NA,314,23,11,Apr 2009,Mobile
GeForce 9700M GT,NA,319,NA,329,45,7,Apr 2009,Mobile
GeForce 9700M GTS,NA,478,NA,300,60,7,Dec 2010,Mobile
GeForce 9800 GT,$103.99*,708,6.81,462,125,5,Aug 2012,Desktop
GeForce 9800 GTX,NA,769,NA,366,140,5,Apr 2009,Desktop
GeForce 9800 GTX+,NA,897,NA,482,141,6,Aug 2012,Desktop
GeForce 9800 GTX/9800 GTX+,$89.99*,878,9.77,480,NA,NA,Jun 2009,Unknown
GeForce 9800 GX2,NA,802,NA,521,197,4,Apr 2009,Desktop
GeForce 9800 S,NA,635,NA,427,NA,NA,Nov 2012,Unknown
GeForce 9800M GS,NA,547,NA,311,60,9,Aug 2012,Mobile
GeForce 9800M GT,NA,475,NA,374,65,7,Apr 2009,Mobile
GeForce 9800M GTS,NA,645,NA,361,75,8,Apr 2009,Mobile
GeForce 9800M GTX,$328.50*,517,1.57,332,75,6,Apr 2009,Mobile
GeForce 999 GTX,NA,124,NA,214,NA,NA,Jul 2017,Unknown
GeForce FX 5200,$69.99*,7,0.11,154,NA,NA,Sep 2010,Desktop
GeForce FX 5200 Ultra,NA,12,NA,138,NA,NA,Apr 2009,Desktop
GeForce FX 5200LE,$42.99*,7,0.16,170,NA,NA,May 2009,Unknown
GeForce FX 5200SE,NA,11,NA,193,NA,NA,Sep 2013,Unknown
GeForce FX 5500,$36.99*,8,0.22,151,NA,NA,Apr 2009,Desktop
GeForce FX 5600,NA,11,NA,163,NA,NA,Apr 2009,Desktop
GeForce FX 5600 Ultra,NA,17,NA,121,NA,NA,Apr 2009,Desktop
GeForce FX 5600XT,NA,9,NA,165,NA,NA,Apr 2009,Unknown
GeForce FX 5700,NA,41,NA,169,NA,NA,Apr 2009,Desktop
GeForce FX 5700 Ultra,NA,34,NA,126,NA,NA,Apr 2009,Desktop
GeForce FX 5700LE,NA,24,NA,144,NA,NA,Apr 2009,Desktop
GeForce FX 5700VE,NA,33,NA,161,NA,NA,Apr 2009,Desktop
GeForce FX 5900,NA,34,NA,187,NA,NA,Apr 2009,Desktop
GeForce FX 5900 Ultra,NA,41,NA,170,NA,NA,May 2009,Desktop
GeForce FX 5900XT,NA,40,NA,133,NA,NA,Apr 2009,Desktop
GeForce FX 5950 Ultra,NA,59,NA,273,NA,NA,Apr 2009,Desktop
GeForce FX Go 5200,NA,8,NA,192,NA,NA,Jun 2010,Mobile
GeForce FX Go 5600,NA,17,NA,186,NA,NA,Sep 2009,Mobile
GeForce FX Go5300,NA,12,NA,159,NA,NA,Aug 2009,Unknown
GeForce FX Go5650,NA,16,NA,210,NA,NA,May 2009,Unknown
GeForce FX Go5700,NA,51,NA,171,NA,NA,May 2009,Unknown
GeForce G 103M,NA,105,NA,280,14,7,Aug 2012,Mobile
GeForce G 105M,NA,113,NA,258,14,8,Apr 2009,Mobile
GeForce G100,$19.99*,99,4.99,357,NA,NA,Aug 2012,Unknown
GeForce G102M,NA,94,NA,264,NA,NA,Jul 2009,Unknown
GeForce G105M,NA,179,NA,300,NA,NA,Nov 2009,Unknown
GeForce G200,NA,134,NA,286,NA,NA,Feb 2010,Unknown
GeForce G205M,NA,91,NA,293,NA,NA,Sep 2010,Unknown
GeForce G210,$63.13*,170,2.70,384,NA,NA,Jul 2009,Unknown
GeForce G210M,NA,199,NA,288,14,14,Sep 2009,Mobile
GeForce Go 6100,NA,18,NA,180,NA,NA,Apr 2009,Unknown
GeForce Go 6150,NA,17,NA,179,NA,NA,Oct 2009,Unknown
GeForce Go 6200,NA,15,NA,202,NA,NA,Apr 2009,Mobile
GeForce Go 6400,NA,24,NA,211,NA,NA,Apr 2009,Mobile
GeForce Go 6600,NA,69,NA,212,NA,NA,Apr 2009,Mobile
GeForce Go 6600 TE/6200 TE,NA,44,NA,222,NA,NA,May 2009,Unknown
GeForce Go 6800,NA,106,NA,204,NA,NA,Apr 2009,Mobile
GeForce Go 6800 Ultra,NA,137,NA,197,NA,NA,Apr 2009,Mobile
GeForce Go 7200,NA,45,NA,198,NA,NA,Aug 2012,Mobile
GeForce Go 7300,NA,50,NA,219,NA,NA,Aug 2012,Mobile
GeForce Go 7400,NA,62,NA,221,NA,NA,Apr 2009,Mobile
GeForce Go 7600,NA,129,NA,221,NA,NA,Apr 2009,Mobile
GeForce Go 7600 GT,NA,163,NA,238,NA,NA,Jun 2009,Mobile
GeForce Go 7700,NA,147,NA,232,NA,NA,Apr 2009,Mobile
GeForce Go 7800,NA,116,NA,203,35,3,Apr 2009,Mobile
GeForce Go 7800 GTX,NA,209,NA,239,65,3,Apr 2009,Mobile
GeForce Go 7900 GS,NA,176,NA,253,20,8,Nov 2009,Mobile
GeForce Go 7950 GTX,NA,263,NA,283,45,5,Apr 2009,Mobile
GeForce GPU,NA,1166,NA,448,NA,NA,Jul 2015,Mobile
GeForce GT 1030,$69.99,2210,31.58,570,30,73,May 2017,Desktop
GeForce GT 120,$34.49*,287,8.35,383,50,5,Apr 2009,Desktop
GeForce GT 120M,NA,267,NA,272,23,11,Jul 2009,Mobile
GeForce GT 130,$27.99*,459,16.41,390,75,6,Apr 2009,Desktop
GeForce GT 130M,NA,298,NA,309,23,12,Apr 2009,Mobile
GeForce GT 140,NA,747,NA,433,105,7,May 2009,Desktop
GeForce GT 220,$79.99*,349,4.37,428,58,6,Aug 2012,Desktop
GeForce GT 220M,NA,259,NA,289,14,18,Aug 2009,Mobile
GeForce GT 230,$43.99*,471,10.72,436,NA,NA,May 2009,Unknown
GeForce GT 230M,NA,332,NA,351,23,14,Sep 2009,Mobile
GeForce GT 240,$37.99*,650,17.13,458,69,9,Aug 2012,Desktop
GeForce GT 240M,NA,351,NA,332,23,15,Jul 2009,Mobile
GeForce GT 320,$32.69*,553,16.92,481,43,12,Jan 2010,Desktop
GeForce GT 320M,NA,205,NA,346,14,14,Feb 2010,Mobile
GeForce GT 325M,NA,293,NA,387,23,12,Apr 2011,Mobile
GeForce GT 330,$39.99*,555,13.89,469,NA,NA,Mar 2010,Unknown
GeForce GT 330M,NA,362,NA,390,23,15,Aug 2012,Mobile
GeForce GT 335M,NA,501,NA,319,28,17,Mar 2010,Mobile
GeForce GT 340,$52.99*,775,14.64,474,69,11,Jan 2011,Desktop
GeForce GT 415M,NA,319,NA,426,12,26,Apr 2011,Mobile
GeForce GT 420,$45.99*,472,10.27,543,50,9,Dec 2010,Desktop
GeForce GT 420M,NA,543,NA,414,23,23,Oct 2010,Mobile
GeForce GT 425M,NA,625,NA,391,23,27,Sep 2010,Mobile
GeForce GT 430,$35.99*,661,18.38,477,49,13,Aug 2012,Desktop
