name,size,mark,price,value,date,type
Corsair CSSD-F240GB2,214.5 GB,1827,$81.99,22.28,Sep 2010,SSD
Corsair CSSD-F40GB2,37.3 GB,1279,$93.59,13.67,Aug 2010,SSD
Corsair CSSD-F60GB2,55.9 GB,1458,$104.59,13.94,Jul 2010,SSD
Corsair CSSD-F60GB2-A,55.9 GB,1482,$124.99*,11.86,Apr 2011,SSD
Corsair CSSD-F80GB2-A,74.4 GB,1224,$199.00,6.15,Mar 2011,SSD
Corsair CSSD-F80GBP2,83.8 GB,1339,$184.99*,7.24,Sep 2010,SSD
Corsair CSSD-F90GB2,83.7 GB,1768,$112.67,15.69,Dec 2010,SSD
Corsair CSSD-R60GB2,56.2 GB,874,$191.88*,4.55,Feb 2010,SSD
Corsair CSSD-V128GB2,119.1 GB,1332,$219.99*,6.05,Mar 2010,SSD
Corsair CSSD-V32GB2,29.7 GB,807,$77.59,10.40,May 2010,SSD
Corsair CSSD-V64GB2,59.5 GB,1025,$139.95*,7.32,Mar 2010,SSD
Corsair Force,223.6 GB,3335,$44.74,74.54,Aug 2013,SSD
Corsair Force 3,223.6 GB,2801,NA,NA,Sep 2012,SSD
Corsair Force 3 SSD,55.9 GB,2145,$144.05*,14.89,Jun 2011,SSD
Corsair Force GS,223.6 GB,3413,$415.98*,8.20,Aug 2012,SSD
Corsair Force GT,111.8 GB,3059,$88.87*,34.42,Jul 2011,SSD
Corsair Force LE,223.6 GB,3461,NA,NA,Apr 2016,SSD
Corsair Force LE SSD,223.6 GB,3841,NA,NA,Dec 2015,SSD
Corsair Force LE200 SSD,223.6 GB,2937,NA,NA,Feb 2017,SSD
Corsair Force LS,223.6 GB,2623,NA,NA,Sep 2013,SSD
Corsair Force LS SSD,55.9 GB,1843,NA,NA,Sep 2013,SSD
CORSAIR FORCE LX,238.5 GB,3527,NA,NA,Jul 2014,SSD
CORSAIR FORCE LX SSD,238.5 GB,2822,NA,NA,Jun 2014,SSD
Corsair Force MP300 120GB,111.8 GB,6767,NA,NA,Sep 2018,SSD
Corsair Force MP300 240GB,223.6 GB,9522,NA,NA,Sep 2018,SSD
Corsair Force MP300 480GB,447.1 GB,9980,NA,NA,Sep 2018,SSD
Corsair Force MP500 120GB,111.8 GB,8678,NA,NA,Jan 2017,SSD
Corsair Force MP500 240GB,223.6 GB,11235,$327.64*,34.29,Dec 2016,SSD
Corsair Force MP500 480GB,447.1 GB,11309,NA,NA,Jan 2017,SSD
Corsair Force MP510 240GB,223.6 GB,13046,NA,NA,Oct 2018,SSD
Corsair Force MP510 480GB,447.1 GB,19053,NA,NA,Nov 2018,SSD
Corsair Force MP510 960GB,894.3 GB,22267,NA,NA,Dec 2018,SSD
Corsair Force SSD,111.8 GB,1914,$399.49*,4.79,Oct 2012,SSD
Corsair Neutron,111.8 GB,3318,$853.63,3.89,Nov 2012,SSD
Corsair Neutron GTX,223.6 GB,1183,$341.36*,3.47,Apr 2013,SSD
Corsair Neutron GTX SS,111.8 GB,3084,NA,NA,Oct 2012,SSD
Corsair Neutron GTX SSD,111.8 GB,3142,NA,NA,Oct 2012,SSD
Corsair Neutron GTX SSD 240GB,223.6 GB,3428,$399.09,8.59,Sep 2012,SSD
Corsair Neutron SS,223.6 GB,3274,NA,NA,Dec 2012,SSD
Corsair Neutron SSD,223.6 GB,2948,$800.33*,3.68,Mar 2013,SSD
Corsair Neutron SSD 256GB,223.6 GB,3484,$249.99*,13.94,Oct 2012,SSD
Corsair Neutron XT SSD,223.6 GB,3279,NA,NA,Feb 2015,SSD
Corsair Neutron XTI SSD,447.1 GB,4011,NA,NA,Aug 2016,SSD
Corsair Nova 2 SSD,28 GB,987,$64.99*,15.19,Nov 2012,SSD
Corsair Performa,238.5 GB,3762,NA,NA,Nov 2012,SSD
Corsair Performance Pro,119.1 GB,3359,$179.99*,18.66,Dec 2011,SSD
Corsair Performance3 SSD,119.2 GB,1955,$204.99*,9.54,Feb 2011,SSD
Crucial C300-CTFDDAA064MAG,59.5 GB,1390,NA,NA,Oct 2010,SSD
Crucial C300-CTFDDAA128MAG,119.2 GB,1520,NA,NA,Jun 2013,SSD
Crucial C300-CTFDDAC064MAG,59.6 GB,1469,NA,NA,Jul 2010,SSD
Crucial C300-CTFDDAC128MAG,119.2 GB,1794,NA,NA,Mar 2010,SSD
Crucial C300-CTFDDAC256MAG,238.5 GB,2105,NA,NA,Mar 2010,SSD
Crucial C300-MTF DBAK128MAG,119.2 GB,1837,NA,NA,Mar 2014,SSD
Crucial C300-MTFDBAK128MAG,102.4 GB,1639,NA,NA,Jun 2011,SSD
Crucial C300-MTFDBAK128MAG,119.2 GB,1548,NA,NA,Nov 2012,SSD
Crucial C300-MTFDDAC064MAG,59.5 GB,1425,NA,NA,Jan 2011,SSD
Crucial C300-MTFDDAC128MAG,119.1 GB,1618,NA,NA,Aug 2010,SSD
Crucial C300-MTFDDAC256MAG,238.5 GB,2244,NA,NA,Oct 2012,SSD
Crucial C300-MTFDDAK128MAG,119.2 GB,1667,NA,NA,Nov 2012,SSD
Crucial C400-MTFDDAC064M,59.6 GB,1990,NA,NA,Oct 2012,SSD
Crucial C400-MTFDDAC064MAM,59.6 GB,1784,NA,NA,Oct 2011,SSD
Crucial C400-MTFDDAC128M,119.2 GB,2120,NA,NA,Dec 2012,SSD
Crucial C400-MTFDDAC128MAM,119.2 GB,2251,NA,NA,Jun 2011,SSD
Crucial C400-MTFDDAC256MAM,238.5 GB,2234,NA,NA,Aug 2012,SSD
Crucial C400-MTFDDAC512MAM,476.9 GB,2448,NA,NA,Mar 2013,SSD
Crucial C400-MTFDDAK064MAM,59.6 GB,1931,NA,NA,Mar 2013,SSD
Crucial C400-MTFDDAK128MAM,103.1 GB,2236,NA,NA,Oct 2011,SSD
Crucial C400-MTFDDAK256MAM,238.5 GB,2206,NA,NA,Mar 2013,SSD
Crucial C400-MTFDDAK512M,476.9 GB,2746,NA,NA,Dec 2013,SSD
Crucial C400-MTFDDAK512MAM,476.9 GB,2386,NA,NA,Jan 2013,SSD
Crucial C400-MTFDDAT064MAM,59.6 GB,1999,NA,NA,Feb 2013,SSD
Crucial C400-MTFDDAT128MAM,119.2 GB,2279,NA,NA,Nov 2012,SSD
Crucial C400-MTFDDAT256MAM,238.5 GB,2231,NA,NA,Jan 2014,SSD
Crucial CT1000BX100SSD1,931.5 GB,3805,$788.99,4.82,Feb 2015,SSD
Crucial CT1024M550SSD1,953.9 GB,3489,$458.98,7.60,Mar 2014,SSD
Crucial CT1024MX,931.5 GB,3134,NA,NA,Mar 2016,SSD
Crucial CT1050MX300SSD1,978.1 GB,4040,$179.99,22.45,Aug 2016,SSD
Crucial CT1050MX300SSD4,978.1 GB,4365,$251.55,17.35,Oct 2016,SSD
Crucial CT120BX100SSD1,111.8 GB,2276,$129.10,17.63,Feb 2015,SSD
Crucial CT120M500SSD1,111.8 GB,2134,$108.99,19.58,May 2013,SSD
Crucial CT120M500SSD3,111.8 GB,2323,$205.99,11.28,Sep 2013,SSD
Crucial CT120M500SSD4,111.8 GB,2671,$119.00*,22.45,Dec 2014,SSD
Crucial CT128M225,119.1 GB,1184,NA,NA,Aug 2009,SSD
